X,Y,Z,YAW,PITCH,ANGLE_X,ANGLE_Y,W,A,S,D,SPRINT,SNEAK,JUMP,LMB,RMB,VEL_X,VEL_Y,VEL_Z
-3362.1,74.9807108763317,421.0347195708252,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, -0.30431682745754074, -0.14974646887031895
-3362.1,74.60408037809304,420.8788502799935,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, -0.37663049823865435, -0.15586929083167433
-3362.1,74.5,420.7174092210164,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, -0.1040803780930446, -0.16144105897711825
-3362.1,74.5,420.4724978631268,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, 0.0, -0.24491135788957763
-3362.008076137304,74.91999998688698,420.63070011186295,0.0,50.0,0.0,0.0,true,true,false,false,true,false,true,false,false, 0.09192386269569397, 0.41999998688697815, 0.15820224873613142
-3361.9578857024426,75.2531999805212,420.7425585481455,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.05019043486163355, 0.33319999363422426, 0.11185843628254588
-3361.9122124054024,75.50133597911214,420.8698297265358,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.045673297040139005, 0.24813599859093927, 0.1272711783902878
-3361.870649703898,75.66610926093821,421.0111265006483,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.04156270150451746, 0.1647732818260721, 0.1412967741125044
-3361.8328276444386,75.74918707874468,421.1651865672359,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.03782205945935857, 0.08307781780646906, 0.15406006658758997
-3361.7984095693387,75.74918707874468,421.3308612303105,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.03441807509989303, 0.0, 0.16567466307463974
-3361.767089120095,75.6707870772188,421.507105176493,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.03132044924359434, -0.07840000152587834, 0.17624394618246697
-3361.7385875104624,75.5155550727022,421.69296717058074,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.028501609632712643, -0.15523200451660557, 0.18586199408775883
-3361.712651044949,75.28502770378924,421.8875815885146,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.025936465513495932, -0.23052736891295922, 0.19461441793384893
-3361.6890488606514,74.9807108763317,422.0901607123779,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.023602184297487838, -0.30431682745754074, 0.2025791238633019
-3361.667570872322,74.60408037809304,422.2999877188459,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.021477988329479558, -0.37663049823865435, 0.20982700646800367
-3361.648025902379,74.5,422.51641029867426,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.01954496994312649, -0.1040803780930446, 0.216422579828361
-3361.630239979218,74.91999998688698,423.0407548359961,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.017785923160772654, 0.41999998688697815, 0.5243445373218378
-3361.620528864044,75.2531999805212,423.35252698506696,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.009711115174013685, 0.33319999363422426, 0.3117721490708618
-3361.6116917489812,75.50133597911214,423.6617196473376,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.008837115062760859, 0.24813599859093927, 0.30919266227061826
-3361.603649974042,75.66610926093821,423.9685649765523,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.008041774939101742, 0.1647732818260721, 0.30684532921469554
-3361.5963319586367,75.74918707874468,424.27327423262454,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.0073180154054171, 0.08307781780646906, 0.30470925607227173
-3361.5896725644257,75.74918707874468,424.57603966208114,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.006659394211055769, 0.0, 0.3027654294565991
-3361.5836125155192,75.6707870772188,424.8770362092666,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.006060048906419979, -0.07840000152587834, 0.30099654718543434
-3361.5780978708553,75.5155550727022,425.1764230735388,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.005514644663890067, -0.15523200451660557, 0.29938686427220773
-3361.573079544067,75.28502770378924,425.4743451263178,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.005018326788558625, -0.23052736891295922, 0.29792205277902895
-3361.573079544067,74.9807108763317,425.7709342005996,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.0, -0.30431682745754074, 0.29658907428176917
-3361.573079544067,74.60408037809304,426.0663102644139,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.0, -0.37663049823865435, 0.2953760638143308
-3361.573079544067,74.5,426.360582488671,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.0, -0.1040803780930446, 0.2942722242570994
